BlueprintName,Map,MapCondition,Scavengable,Containers,QuestReward,TrialsReward,ContainerTypeAssumed,DropRateEstimate_PerContainer,AvgRaidsEstimate_6Containers,AvgRaidsEstimate_9Containers,Notes,LocationNotes,BestKnownRoute,CraftingMaterials,WorkshopLevel
Anvil,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"5 Mechanical Components, 5 Simple Gun Parts",Gunsmith 2
Angled Grip II,All,Any,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers (trash cans, wardrobes, desks); high density: Blue Gate Village, Buried City Plaza Rosa/Grandioso, Stella Montis Lobby/Business Center",Blue Gate Village → full residential sweep OR Buried City Plaza Rosa → Grandioso → street residential containers,"2 Mechanical Components, 3 Duct Tape",Gunsmith 2
Angled Grip III,All,Electromagnetic Storm Locked Gate Night Raid,Yes,Residential Containers,No,Yes,Residential,,,,,"Residential containers in Locked Gate/Night Raid/Electromagnetic Storm events; Blue Gate Village (Locked Gate), Buried City residential (Night)",Locked Gate: Blue Gate Village residential sweep OR Night/Storm: Buried City Plaza Rosa → Grandioso,"2 Mod Components, 5 Duct Tape",Gunsmith 3
Aphelion,Stella Montis*,Matriarch,Yes,Any* Matriarch,No,No,Boss Drop,,,,Matriarch boss exclusive,Stella Montis ONLY; Matriarch boss drop (Queen Core),Stella Montis Matriarch event: kill Queen → loot Queen Core,"3 Magnetic Accelerator, 3 Complex Gun Parts, 1 Matriarch Reactor",Gunsmith 3
Barricade Kit,All,Any,Yes,Electrical Containers,No,Yes,Electrical,,,,,"Electrical containers (server cabinets, wall cabinets, androids, computers); all maps","Check electrical rooms in any map (server rooms, tech areas with cabinets/computers/androids)",1 Mechanical Component,Utility Station 2
Bettina,All,Any,Yes,Raider Containers,No,Yes,Raider,,,,,"Raider containers: uncovered caches (~10% BP rate), raider backpacks, med bags, ammo boxes, weapon boxes, grenade cases; all maps",Uncovered Caches event → hunt ticking caches OR loot weapon cases in any high-value breach rooms,"3 Advanced Mechanical Components, 3 Heavy Gun Parts, 3 Canister",Gunsmith 3
Blaze Grenade,All,Any,Yes,Industrial Containers,No,Yes,Industrial,,,,,"Industrial containers (red lockers, rusty raider boxes, shipping containers); Blue Gate Maintenance, Dam Primary Facility, Stella Montis Loading Bay",Stella Montis Loading Bay → shipping containers OR Blue Gate Maintenance Wing → red lockers/rusty raider boxes,"1 Explosive Compound, 2 Oil",Explosives Station 3
Bobcat,,Locked Gate,Yes,Anywhere,No,Yes,Mixed,,,,,"Locked Gate event ONLY; any container, any map during event","Locked Gate event: loot any high-density area (Blue Gate Village, Dam primary areas, Buried City pharmacies)","1 Magnetic Accelerator, 3 Light Gun Parts, 2 Exodus Modules",Gunsmith 3
Burletta,,,No,,Industrial Espionage,Yes,Quest,,,,Quest: Industrial Espionage,Quest reward ONLY: Industrial Espionage,Complete Industrial Espionage quest,"3 Mechanical Components, 3 Simple Gun Parts",Gunsmith 1
Combat Mk. 3 (Aggressive),Stella Montis Blue Gate,Any,Yes,Medical Containers Security Containers,No,Yes,Security/Medical,,,,,"Medical + Security containers; Blue Gate Security Wing (downstairs + upstairs medical), Stella Montis Lobby/Business Center augment boxes",Blue Gate Reinforced Reception → breach room security lockers → upstairs medical floor → Security Wing augment boxes,"2 Advanced Electrical Components, 3 Processors",Gear Bench 3
